pl_name,pl_hab,pl_orbper,pl_rade,pl_masse,pl_eqt,st_teff,sy_dist
CoRoT-18 b,0,1.9000693,14.68,1102.82,1550,5440,764.889
CoRoT-19 b,0,3.89713,14.46,352.78,2000,6090,790.663
CoRoT-2 b,0,1.7429935,16.47723,1150.5446,1548,5696,213.283
CoRoT-20 b,0,9.24285,9.42,1347.54,1002,5880,844.061
CoRoT-20 c,0,1675,,,,,844.061
CoRoT-21 b,0,2.72474,14.5717,705.5826,,6200,
CoRoT-22 b,0,9.75598,4.88,12.2,885,5939,627.158
CoRoT-23 b,0,3.6313,13.22662,972.5598,1710,5900,1060.97
CoRoT-24 b,0,5.1134,3.7,5.7,1070,4950,591.555
CoRoT-24 c,0,11.759,5,28,850,4950,591.555
CoRoT-25 b,0,4.86069,12.11,85.81,1330,6040,1103.48
CoRoT-26 b,0,4.20474,14.12,165.26,1600,5590,1045.18
CoRoT-27 b,0,3.57532,11.287,3302.11,1500,5900,1010.28
CoRoT-28 b,0,5.20851,10.704595,152.87623,,5150,766.183
CoRoT-29 b,0,2.85057,10.0881,270.1555,,5260,806.507
CoRoT-3 b,0,4.2567994,11.623733,6979.5468,1695,6740,768.771
CoRoT-30 b,0,9.06005,11.309881,921.707,,5650,1032.23
CoRoT-31 b,0,4.62941,16.36514,266.9772,,5700,2005.76
CoRoT-32 b,0,6.71837,6.38913,47.6745,938,5970,576.683
CoRoT-35 b,0,3.22748,18.83108758,349.6112477,1747,6390,1123.21
CoRoT-36 b,0,5.616531,15.80466279,216.1233168,1567,6730,925.958
CoRoT-4 b,0,9.20205,13.00244,232.33373,1058,6190,726.412
CoRoT-5 b,0,4.0378962,13.249038,149.3801,1348,6100,882.472
CoRoT-6 b,0,8.886593,13.282665,940.7768,1025,6090,645.294
CoRoT-7 b,0,0.853585,1.860694,6.99226,1910,5250,159.906
CoRoT-7 c,0,3.698,,8.4,,5256,159.906
CoRoT-7 d,0,8.966,,17.142,,5250,159.906
CoRoT-8 b,0,6.21229,7.980808,68.65128,922,5080,322.037
CoRoT-9 b,0,95.272656,11.948794,266.9772,420,5625,412.98
DE CVn b,0,4098.1,,,,,30.5225
DENIS-P J082303.1-491201 b,0,246.36,,9057.77,,,
DH Tau b,0,,30.2643,3496.13,2200,4371,134.846
DMPP-1 b,0,18.57,,,877,6196,62.5388
DMPP-1 c,0,6.584,,,1239,6196,62.5388
DMPP-1 d,0,2.882,,,1632,6196,62.5388
DMPP-1 e,0,5.516,,,1314,6196,62.5388
DMPP-2 b,0,5.2072,,,1000,6500,137.94
DMPP-3 A b,0,6.6732,,,854,5138,45.23
DMPP-4 b,0,3.4982,,,,6400,25.3284
DP Leo b,0,8693,,1995.88832,,,305.684
DS Tuc A b,0,8.1387,5.63,413.179,,5542,44.0622
EPIC 201170410.02,0,6.7987,1.047,,,3648,
EPIC 201238110 b,0,28.1656,1.87,,,,159.259
EPIC 201427007 b,0,0.72091,1.5,,,5633,706.391
EPIC 201497682 b,0,2.13174,0.692,,,,253.026
EPIC 201595106 b,0,0.87724,1.565,7.67,2038,5679,232.1
EPIC 201615463 c,0,3.80464,1.22,,,,476.882
EPIC 201754305 d,0,2.71578,1.03,,,,334.967
EPIC 201757695.02,0,2.0478,0.90819,,,4520,
EPIC 201833600 c,0,3.96165,1.48,,,,257.443
EPIC 201841433 b,0,4.1698,1.04,,,5053,436.488
EPIC 205950854 c,0,8.050722,1.31,,960.6,5502.7,243.935
EPIC 206024342 b,0,4.50756,1.7,,,,369.888
EPIC 206024342 c,0,0.911724,1.4,,,5724,369.888
EPIC 206024342 d,0,14.647531,2.6,,,5724,369.888
EPIC 206032309 b,0,2.87814,1.01,,,,161.365
EPIC 206042996 b,0,5.2986,1.7,,,4114,451.769
EPIC 206042996 c,0,0.354884,1.2,,,4114,451.769
EPIC 206215704 b,0,2.255436,1,,,3297,109.888
EPIC 206317286 b,0,1.58316,1.22,,,,314.35
EPIC 206317286 c,0,17.515472,2.094,,,4752,314.35
EPIC 211822797 b,0,21.1701963,1.92,,431,4057,186.197
EPIC 211945201 b,0,19.49213,6.12,27,886.35,6025,181.69
EPIC 212297394 b,0,2.289363,1.48,,1149,5171,418.395
EPIC 212297394 c,0,5.213965,2.27,,866,5171,418.395
EPIC 212424622 b,0,18.0971,2.21,,,,611.804
EPIC 212499991 b,0,34.885,1.6,,,,283.29
EPIC 212587672 b,0,15.28078,1.26,,756,6004,320.07
EPIC 212587672 c,0,23.228555,2.32,,658,6004,320.07
EPIC 212624936 b,0,0.578657,1.2,,,5765,561.929
EPIC 212624936 c,0,11.811437,2.3,,,5765,561.929
EPIC 212737443 b,0,13.603,2.586,,536,4684,336.25
EPIC 212737443 c,0,65.55,2.69,,316,4684,336.25
EPIC 220492298 b,0,0.762406,0.99,,,5620,624.512
EPIC 220554210 c,0,0.70531,1.6,,,5499,496.289
EPIC 220674823 b,0,0.571336,1.82,9,2063,5496,244.59
EPIC 220674823 c,0,13.3387,2.77,5.7,722,5496,244.59
EPIC 228836835 b,0,0.72813,1.27,,932,3506,150.124
EPIC 229004835 b,0,16.141132,2.332,10.4,804,5868,121.971
EPIC 246851721 b,0,6.180235,11.780659,953.49,1401,6202,372.632
EPIC 248847494 b,0,3650,12.44199,4131.79,183,4898,551.886
EPIC 249893012 b,0,3.5951,1.95,8.75,1616,5430,321.296
EPIC 249893012 c,0,15.624,3.67,14.67,990,5430,321.296
EPIC 249893012 d,0,35.747,3.94,10.18,752,5430,321.296
FU Tau b,0,,,5085.28,2375,2838,
G 192-15 b,0,2.27476,,,453.6,,9.53114
G 192-15 c,0,1219,,,55.9,,9.53114
G 196-3 b,0,,,8263.538582,1670,,21.7912
G 261-6 b,0,5.4536,,,322.3,,10.6267
G 264-012 b,0,2.30538,,,587,3326,16.009
G 264-012 c,0,8.0518,,,387,3326,16.009
G 268-110 b,0,1.43263,,,534,,
G 9-40 b,0,5.7459982,1.9,4,440.6,3395,27.9276
GJ 1061 b,0,3.204,,,,2953,3.67278
GJ 1132 b,0,1.62892911,1.19151465,1.83704819,583.8,3229,12.613
GJ 1132 c,0,8.929,,,300,3270,12.613
GJ 1148 b,0,41.38,,,,3287,11.0143
GJ 1148 c,0,532.58,,,,3287,11.0143
GJ 1151 c,0,389.7,,,,3280,8.03625
GJ 1214 b,0,1.58040433,2.742,8.17,596,3250,14.6427
GJ 1252 b,0,0.5182349,1.193,2.09,1089,3458,20.373
GJ 1265 b,0,3.6511,,,,3236,10.2525
GJ 1289 b,0,111.74,,,150,3296,8.35147
